Frame,X2,Y2,Width2,Height2
0,16,14,14,92
1,16,14,14,92
2,16,14,14,92
3,16,14,14,93
4,16,14,14,93
5,16,14,14,93
6,16,14,14,93
7,16,14,14,93
8,16,14,14,92
9,16,14,14,92
10,24,48,6,57
10,0,34,16,14
10,18,14,12,24
11,24,48,6,40
11,0,34,16,14
11,18,14,12,24
12,24,48,6,40
12,0,34,16,28
12,18,14,12,24
13,24,48,6,40
13,0,34,16,28
13,18,14,12,24
14,22,48,8,40
14,0,34,16,14
14,18,14,12,24
15,22,48,8,40
15,0,34,16,14
15,18,14,12,24
16,22,48,8,40
16,0,34,16,14
16,18,14,12,24
17,22,48,8,40
17,0,34,16,14
17,18,14,12,24
18,22,48,8,40
18,0,34,16,14
18,18,14,12,24
19,22,48,8,40
19,0,34,16,14
20,22,64,8,24
20,0,34,16,14
21,22,64,8,24
21,0,34,16,14
22,22,64,8,24
22,0,34,16,14
22,18,15,12,23
23,22,64,8,24
23,0,34,16,14
23,18,16,12,22
24,22,64,8,24
24,0,34,16,14
25,22,64,8,24
25,0,34,16,14
26,22,64,8,24
26,0,34,16,14
27,0,34,16,14
28,0,34,16,14
29,0,34,16,14
30,0,34,16,14
31,0,34,16,14
32,0,34,16,14
33,0,34,16,14
34,0,34,16,14
35,0,34,16,14
36,0,34,16,14
37,0,34,16,14
38,0,34,14,14
39,0,34,16,14
40,0,34,14,14
41,0,34,16,14
42,0,34,16,14
43,0,34,16,14
44,0,34,16,14
45,0,34,30,30
46,0,34,30,30
47,0,34,30,30
48,0,34,30,30
49,0,34,30,30
50,20,48,10,14
50,0,34,16,14
51,20,48,10,14
51,0,34,16,14
52,20,48,10,14
52,0,34,16,14
53,20,48,10,14
53,0,34,16,14
54,20,48,10,14
54,0,34,16,14
55,20,48,10,14
55,0,34,16,14
56,20,48,10,14
56,0,34,16,14
57,20,48,10,14
57,0,34,16,14
58,0,34,16,14
59,0,34,16,14
60,0,34,20,14
61,0,34,20,14
62,0,34,20,14
63,0,34,20,14
64,0,34,20,14
65,0,34,20,14
66,0,34,20,14
67,0,34,20,14
68,0,34,20,14
69,0,34,20,14
70,0,34,20,14
71,0,34,20,14
72,0,34,20,14
73,0,34,20,14
74,0,34,20,14
75,0,34,20,14
76,0,34,20,14
77,0,34,20,14
78,0,34,16,14
79,0,34,16,14
80,0,34,16,14
81,0,34,16,14
82,0,34,16,14
83,0,34,16,14
84,0,34,16,14
85,0,34,16,14
86,0,34,16,14
87,0,34,16,14
88,0,34,16,14
89,0,34,16,14
90,0,34,16,12
91,0,34,20,14
92,0,34,20,12
93,0,34,20,14
94,0,34,20,14
95,0,34,20,14
96,0,34,20,14
97,0,34,30,26
98,0,34,30,26
99,0,34,30,26
100,0,34,30,26
101,0,34,30,26
102,0,34,16,12
103,0,34,16,12
104,0,34,16,12
105,0,34,16,12
106,0,34,16,12
107,0,34,16,12
108,0,34,16,12
109,0,34,16,12
110,0,34,16,12
111,0,34,16,12
112,0,34,16,12
113,0,34,16,12
114,0,34,16,12
115,0,34,16,12
116,0,34,16,12
117,0,34,16,12
118,0,34,16,12
119,0,34,16,12
120,0,34,16,12
121,0,34,16,12
123,0,34,16,12
124,0,34,16,12
125,0,34,16,12
126,0,34,16,12
127,0,34,16,12
128,0,34,16,12
129,0,34,16,12
130,0,34,16,12
131,0,34,16,12
132,0,34,16,12
133,0,34,16,12
134,22,20,8,40
135,22,20,8,40
136,22,20,8,40
137,22,20,8,40
151,0,34,16,12
152,0,34,16,12
154,0,34,16,12
155,0,34,16,12
156,0,34,16,12
319,16,19,14,29
320,16,19,14,29
321,16,19,14,29
322,16,19,14,29
323,16,19,14,29
324,16,19,14,29
325,16,19,14,29
326,16,19,14,29
327,16,19,14,29
328,16,19,14,29
329,16,19,14,29
330,16,19,14,27
331,16,19,14,27
332,16,19,14,27
333,16,19,14,27
334,16,19,14,27
335,16,19,14,27
336,16,19,14,27
337,16,19,14,27
347,16,20,14,26
348,16,20,14,26
349,16,20,14,26
350,16,20,14,26
351,16,20,14,26
352,16,20,14,26
353,16,20,14,26
354,16,20,14,26
355,16,20,14,26
356,16,20,14,26
357,16,20,14,26
358,16,20,14,26
359,16,20,14,26
360,16,20,14,26
361,16,20,14,26
505,12,148,11,12
507,12,150,11,12
508,12,150,11,12
509,12,150,11,12
510,12,150,11,13
511,12,151,11,12
512,12,151,11,13
513,12,151,11,13
514,11,151,12,13
515,11,151,11,14
516,11,152,11,13
517,11,152,11,14
518,11,154,12,12
519,10,154,12,13
520,11,156,12,12
521,11,157,11,12
753,11,134,12,12
755,11,133,12,12
756,11,132,12,12
764,13,127,11,12
774,14,124,11,12
780,14,123,12,12
783,14,123,12,12
784,14,123,12,12
785,14,123,12,12
786,14,123,12,12
787,14,124,12,12
788,14,124,12,12
789,14,124,12,12
790,14,124,12,12
792,14,125,12,12
794,14,125,12,12
795,14,125,12,12
796,14,125,12,12
798,14,126,12,12
802,14,128,11,12
806,13,131,12,12
809,13,134,11,12
810,13,135,11,12
811,13,136,11,12
812,13,136,11,12
824,10,147,12,12
826,10,150,12,12
827,10,150,11,13
830,10,154,11,13
832,10,158,11,12
1029,8,150,12,12
1036,11,141,11,12
1038,11,138,11,12
1045,13,128,11,12
1046,13,126,12,13
1047,13,126,11,12
1049,14,124,11,12
1050,14,123,11,12
1052,15,122,11,12
1054,15,120,12,12
1057,16,118,11,12
