Frame,X1,Y1,Width1,Height1
0,16,16,30,96
1,16,16,30,96
2,16,16,30,96
3,16,16,30,96
4,16,16,30,96
5,16,16,30,96
6,16,16,30,95
7,16,16,30,95
8,16,16,30,95
9,16,16,30,95
10,18,16,28,95
11,18,16,28,95
12,18,16,28,95
13,18,16,28,95
14,18,16,28,95
15,18,16,28,95
16,18,16,28,95
17,18,16,28,95
18,18,18,28,93
19,18,18,28,93
20,18,18,28,93
21,0,34,16,14
21,18,18,28,93
22,24,48,22,63
22,0,34,16,14
22,26,18,10,14
23,24,48,22,63
23,0,34,16,14
23,26,18,10,14
24,24,48,22,63
24,0,34,16,14
24,26,18,10,14
25,24,48,22,63
25,0,34,16,14
25,26,18,10,14
26,24,50,22,61
26,0,34,16,14
26,26,18,10,14
27,24,50,22,61
27,0,34,16,14
27,26,18,10,14
28,24,50,22,62
28,0,34,16,14
28,26,18,10,14
29,24,50,22,62
29,0,34,16,14
29,26,18,10,14
30,24,50,22,62
30,0,34,16,14
30,26,18,10,14
31,24,50,22,62
31,0,34,16,14
31,26,18,10,14
32,24,50,22,62
32,0,34,16,14
32,26,18,10,14
33,24,50,22,62
33,0,16,36,34
34,24,50,22,62
34,0,34,14,14
34,26,16,10,16
35,24,50,22,62
35,0,34,14,14
35,26,16,10,16
36,24,50,22,62
36,0,34,14,14
36,26,16,10,16
37,24,50,22,62
37,0,34,14,14
37,26,16,10,16
38,24,50,22,62
38,0,34,14,14
38,26,16,10,16
39,24,50,22,62
39,0,34,14,14
39,26,16,10,16
40,24,50,22,62
40,0,34,14,14
40,26,16,10,16
41,24,50,22,62
41,0,34,14,14
41,26,16,10,16
42,24,50,22,49
42,0,34,14,14
42,26,16,10,16
43,24,50,22,46
43,0,34,14,14
43,26,16,10,16
44,24,50,22,46
44,0,34,14,14
44,26,16,10,16
45,24,50,22,49
45,0,34,14,14
45,26,16,10,16
46,24,50,22,49
46,0,34,14,14
46,26,16,10,16
47,24,50,22,49
47,0,34,14,14
47,26,16,10,16
48,24,50,22,49
48,0,34,14,14
48,26,16,10,16
49,16,46,30,53
49,0,34,14,14
49,26,16,10,16
50,16,46,30,50
50,0,34,14,14
50,26,18,10,14
51,16,46,30,63
51,0,34,14,14
51,26,18,10,14
52,0,18,46,91
53,0,18,46,91
54,0,18,46,91
55,0,18,46,91
56,0,18,46,91
57,0,18,46,91
58,0,18,46,92
59,0,18,46,92
60,0,18,46,92
61,0,18,46,94
62,0,18,46,94
63,0,18,46,94
64,0,18,46,94
65,0,18,46,94
66,0,18,46,94
67,0,18,46,94
68,0,18,46,94
69,0,18,46,94
70,0,18,46,94
71,0,18,46,94
72,0,18,46,94
73,0,18,46,94
74,0,18,46,94
75,0,18,46,94
76,0,18,46,94
77,0,18,46,94
78,16,18,30,94
79,16,18,30,94
80,16,18,32,94
81,16,18,32,96
82,30,64,16,50
82,16,20,32,42
83,30,64,16,50
83,16,18,32,44
84,30,64,16,50
84,16,18,32,44
85,30,64,16,50
85,16,18,32,44
86,30,64,16,50
86,16,18,32,44
87,30,64,16,50
87,16,18,20,44
